Nr okrÍgu;Siedziba OKW;Nr listy (po nadaniu);Nazwa komitetu;Sygnatura;Typ;Pozycja na liúcie;Nazwisko;Imiona;P≥eÊ;ZawÛd;Miejsce zamieszkania;TERYT m. z.;Gmina m.z.;PrzynaleønoúÊ do partii;Poparcie;Liczba g≥osÛw;Procent g≥osÛw oddanych na listÍ;Procent g≥osÛw oddanych w okrÍgu;Czy przyznano mandat
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;17;KRASOWSKI;Marcin Karol;MÍøczyzna;informatyk;Lubin;21101;m. Lubin;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;272;0.008772495646003999;0.0006289948107928109;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;18;TUCHOWSKA;Kazimiera Zofia;Kobieta;emeryt - technik rolnik;WilkÛw-Osiedle;22606;gm. Z≥otoryja;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;401;0.012932980713410308;0.0009273048497349897;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;19;IMIELSKI;Mariusz Janusz;MÍøczyzna;emeryt - policjant;Opolno ZdrÛj;22503;gm. Bogatynia;cz≥onek partii politycznej: Stronnictwo Demokratyczne;;87;0.0028059085338321614;0.0002011858402168182;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;20;£ASICA;Bartosz;MÍøczyzna;rolnik;NawojÛw £uøycki;21004;gm. LubaÒ;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;625;0.020157388892472424;0.0014453005762702458;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;21;OTROCIUK;Barbara;Kobieta;ksiÍgowa;Bogatynia;22503;gm. Bogatynia;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;231;0.0074501709346578085;0.0005341830929894828;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;22;BUKAT;Eugenia;Kobieta;technolog zbiorowego øywienia;Jelenia GÛra;26101;m. Jelenia GÛra;nie naleøy do partii politycznej;;121;0.0039024704895826616;0.00027981019156591956;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;23;GNAT;Stanis≥aw;MÍøczyzna;robotnik budowlany;Sucha GÛrna;21604;gm. Polkowice;nie naleøy do partii politycznej;;418;0.013481261691285558;0.0009666170254095404;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;24;SUPIERZ;Leszek JÛzef;MÍøczyzna;menedøer;Kowary;20602;m. Kowary;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;605;0.019512352447913307;0.001399050957829598;Nie
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;1;LIPI—SKI;Adam JÛzef;MÍøczyzna;ekonomista;Warszawa;146513;UrsynÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;33269;0.181436923278288;0.0769339277950957;Tak
1;Legnica;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;2;WITEK;Eløbieta Barbara;Kobieta;parlamentarzysta;Jawor;20501;m. Jawor;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;46171;0.25179969895944676;0.10676955665115763;Tak
